Setup complete. Steps per week: 672
CloudClusterEnv defined.

=======================================================
Training sla-focused, training seed 1
=======================================================
steps  81920 | recent ep reward   -164.1
steps  83968 | recent ep reward   -137.9
steps  86016 | recent ep reward   -149.1
steps  88064 | recent ep reward   -154.0
steps  90112 | recent ep reward   -153.4
steps  92160 | recent ep reward   -148.0
steps  94208 | recent ep reward   -136.9
steps  96256 | recent ep reward   -124.5
steps  98304 | recent ep reward   -124.4
steps 100352 | recent ep reward   -116.5
steps 102400 | recent ep reward   -114.6
steps 104448 | recent ep reward   -125.4
steps 106496 | recent ep reward   -106.0
steps 108544 | recent ep reward    -93.6
steps 110592 | recent ep reward   -107.6
steps 112640 | recent ep reward   -106.8
steps 114688 | recent ep reward    -96.9
steps 116736 | recent ep reward    -91.8
steps 118784 | recent ep reward    -73.4
steps 120832 | recent ep reward    -78.9
steps 122880 | recent ep reward    -81.9
steps 124928 | recent ep reward    -71.8
steps 126976 | recent ep reward    -83.4
steps 129024 | recent ep reward    -89.3
steps 131072 | recent ep reward    -84.2
steps 133120 | recent ep reward    -89.9
steps 135168 | recent ep reward    -86.1
steps 137216 | recent ep reward    -69.2
steps 139264 | recent ep reward    -66.3
steps 141312 | recent ep reward    -78.1
steps 143360 | recent ep reward    -75.0
steps 145408 | recent ep reward    -68.3
steps 147456 | recent ep reward    -63.5
steps 149504 | recent ep reward    -72.3
steps 151552 | recent ep reward    -68.5
steps 153600 | recent ep reward    -65.1
steps 155648 | recent ep reward    -55.3
steps 157696 | recent ep reward    -50.7
steps 159744 | recent ep reward    -51.5
steps 161792 | recent ep reward    -60.4
steps 163840 | recent ep reward    -63.5
steps 165888 | recent ep reward    -48.9
steps 167936 | recent ep reward    -59.8
steps 169984 | recent ep reward    -63.7
steps 172032 | recent ep reward    -40.7
steps 174080 | recent ep reward    -38.7
steps 176128 | recent ep reward    -39.7
steps 178176 | recent ep reward    -43.9
steps 180224 | recent ep reward    -56.3
steps 182272 | recent ep reward    -48.1
steps 184320 | recent ep reward    -41.3
steps 186368 | recent ep reward    -39.1
steps 188416 | recent ep reward    -33.8
steps 190464 | recent ep reward    -35.9
steps 192512 | recent ep reward    -32.3
steps 194560 | recent ep reward    -34.1
steps 196608 | recent ep reward    -31.5
steps 198656 | recent ep reward    -25.5
steps 200704 | recent ep reward    -23.3
steps 202752 | recent ep reward    -22.2
steps 204800 | recent ep reward    -19.2
steps 206848 | recent ep reward    -21.1
steps 208896 | recent ep reward    -20.0
steps 210944 | recent ep reward    -17.8
steps 212992 | recent ep reward    -17.3
steps 215040 | recent ep reward    -20.0
steps 217088 | recent ep reward    -18.0
